Strategy,Combination,Model,Dim,acc,acc_std,f1_macro,f1_wtd
3_Intermediate,Log-Mel + MERT (PCA-64),SVM+PCA64,128,77.29,2.4,76.7,77.11
3_Intermediate,Chroma+C+T + HuBERT (PCA-64),SVM+PCA64,128,82.85,2.17,82.41,82.74
3_Intermediate,Chroma+C+T + Wav2Vec2 (PCA-64),SVM+PCA64,128,79.31,3.42,78.31,79.16
3_Intermediate,Chroma+C+T + Whisper (PCA-64),SVM+PCA64,128,78.61,3.42,78.25,78.6
3_Intermediate,Chroma+C+T + MERT (PCA-64),SVM+PCA64,128,74.79,2.46,74.25,74.67
3_Intermediate,Statistical + HuBERT (PCA-64),SVM+PCA64,128,81.94,0.69,81.51,81.8
3_Intermediate,Statistical + Wav2Vec2 (PCA-64),SVM+PCA64,128,78.68,1.9,77.85,78.51
3_Intermediate,Statistical + Whisper (PCA-64),SVM+PCA64,128,77.64,2.73,77.23,77.49
3_Intermediate,Statistical + MERT (PCA-64),SVM+PCA64,128,73.54,1.36,72.74,73.34
3_Intermediate,ALL_HC + ALL_EMB (PCA-64),SVM+PCA64,128,85.62,3.5,85.19,85.57
4_AttentionGate,MFCC + HuBERT,AttGate-MLP,1008,87.15,1.2,86.69,87.03
4_AttentionGate,MFCC + Wav2Vec2,AttGate-MLP,1008,87.08,0.83,86.32,87.04
4_AttentionGate,MFCC + Whisper,AttGate-MLP,752,86.25,2.42,85.88,86.19
4_AttentionGate,MFCC + MERT,AttGate-MLP,1008,81.53,2.38,80.92,81.29
4_AttentionGate,ALL_HC + HuBERT,AttGate-MLP,1324,86.32,1.25,85.75,86.2
